raceyear,drivername,win,cumwin,racedate
1989,baghetti,0,1,1989-01-01
1989,bandini,0,1,1989-01-01
1989,barrichello,0,0,1989-01-01
1989,beltoise,0,1,1989-01-01
1989,bonnier,0,1,1989-01-01
1989,bottas,0,0,1989-01-01
1989,brambilla,0,1,1989-01-01
1989,brooks,0,6,1989-01-01
1989,bryan,0,1,1989-01-01
1989,button,0,0,1989-01-01
1989,cevert,0,1,1989-01-01
1989,clark,0,25,1989-01-01
1989,collins,0,3,1989-01-01
1989,coulthard,0,0,1989-01-01
1989,damon_hill,0,0,1989-01-01
1989,depailler,0,2,1989-01-01
1989,emerson_fittipaldi,0,14,1989-01-01
1989,fagioli,0,1,1989-01-01
1989,fangio,0,24,1989-01-01
1989,farina,0,5,1989-01-01
1989,fisichella,0,0,1989-01-01
1989,flaherty,0,1,1989-01-01
1989,frentzen,0,0,1989-01-01
1989,gethin,0,1,1989-01-01
1989,gilles_villeneuve,0,6,1989-01-01
1989,ginther,0,1,1989-01-01
1989,gonzalez,0,2,1989-01-01
1989,gurney,0,4,1989-01-01
1989,hakkinen,0,0,1989-01-01
1989,hamilton,0,0,1989-01-01
1989,hanks,0,1,1989-01-01
1989,hawthorn,0,3,1989-01-01
1989,herbert,0,0,1989-01-01
1989,hill,0,14,1989-01-01
1989,hulme,0,8,1989-01-01
1989,hunt,0,10,1989-01-01
1989,ickx,0,8,1989-01-01
1989,ireland,0,1,1989-01-01
1989,irvine,0,0,1989-01-01
1989,jabouille,0,2,1989-01-01
1989,jack_brabham,0,14,1989-01-01
1989,jones,0,12,1989-01-01
1989,keke_rosberg,0,5,1989-01-01
1989,kovalainen,0,0,1989-01-01
1989,kubica,0,0,1989-01-01
1989,laffite,0,6,1989-01-01
1989,lauda,0,25,1989-01-01
1989,leclerc,0,0,1989-01-01
1989,maldonado,0,0,1989-01-01
1989,mario_andretti,0,12,1989-01-01
1989,mass,0,1,1989-01-01
1989,massa,0,0,1989-01-01
1989,max_verstappen,0,0,1989-01-01
1989,mclaren,0,4,1989-01-01
1989,michael_schumacher,0,0,1989-01-01
1989,montoya,0,0,1989-01-01
1989,moss,0,16,1989-01-01
1989,musso,0,1,1989-01-01
1989,nilsson,0,1,1989-01-01
1989,pace,0,1,1989-01-01
1989,panis,0,0,1989-01-01
1989,parsons,0,1,1989-01-01
1989,patrese,0,2,1989-01-01
1989,peterson,0,10,1989-01-01
1989,phil_hill,0,3,1989-01-01
1989,piquet,0,20,1989-01-01
1989,pironi,0,3,1989-01-01
1989,raikkonen,0,0,1989-01-01
1989,ralf_schumacher,0,0,1989-01-01
1989,rathmann,0,1,1989-01-01
1989,regazzoni,0,5,1989-01-01
1989,reutemann,0,12,1989-01-01
1989,revson,0,2,1989-01-01
1989,ricciardo,0,0,1989-01-01
1989,rindt,0,6,1989-01-01
1989,rodriguez,0,2,1989-01-01
1989,rosberg,0,0,1989-01-01
1989,ruttman,0,1,1989-01-01
1989,scarfiotti,0,1,1989-01-01
1989,scheckter,0,10,1989-01-01
1989,siffert,0,2,1989-01-01
1989,stewart,0,27,1989-01-01
1989,surtees,0,6,1989-01-01
1989,sweikert,0,1,1989-01-01
1989,tambay,0,2,1989-01-01
1989,taruffi,0,1,1989-01-01
1989,trintignant,0,2,1989-01-01
1989,trips,0,2,1989-01-01
1989,trulli,0,0,1989-01-01
1989,vettel,0,0,1989-01-01
1989,villeneuve,0,0,1989-01-01
1989,vukovich,0,2,1989-01-01
1989,wallard,0,1,1989-01-01
1989,ward,0,1,1989-01-01
1989,watson,0,5,1989-01-01
1989,webber,0,0,1989-01-01
1990,boutsen,1,3,1990-01-01
1990,mansell,1,16,1990-01-01
1990,patrese,1,3,1990-01-01
1990,piquet,2,22,1990-01-01
1990,prost,5,44,1990-01-01
1990,senna,6,26,1990-01-01
1990,alboreto,0,5,1990-01-01
1990,alesi,0,0,1990-01-01
1990,alonso,0,0,1990-01-01
1990,angelis,0,2,1990-01-01
1990,arnoux,0,7,1990-01-01
1990,ascari,0,13,1990-01-01
1990,baghetti,0,1,1990-01-01
1990,bandini,0,1,1990-01-01
1990,barrichello,0,0,1990-01-01
1990,beltoise,0,1,1990-01-01
1990,berger,0,5,1990-01-01
1990,bonnier,0,1,1990-01-01
1990,bottas,0,0,1990-01-01
1990,brambilla,0,1,1990-01-01
1990,brooks,0,6,1990-01-01
1990,bryan,0,1,1990-01-01
1990,button,0,0,1990-01-01
1990,cevert,0,1,1990-01-01
1990,clark,0,25,1990-01-01
